tout	todas	all	הכל
et	y	and	ו
garçon	niño	boy	ילד
voiture	coche	car	מכונית
chat	gato	cat	חתול
journée	día	day	יום
fin	fin	end	סוף
famille	familia	family	משפחה
domicile	casa	home	בית
il	eso	it	זה
homme	hombre	man	איש
Nom	nombre	name	שם
une	uno	one	אחד
personnes	personas	people	אנשים
lis	leer	read	קוראים
école	colegio	school	בית ספר
parler	hablar	speak	מדברים
la	la	the	
ce	esta	this	
toi	tú	you	אתה
demander	pedir	ask	שואל
livre	libro	book	ספר
pouvez	pueden	can	יכול
chien	perro	dog	כלב
œil	ojo	eye	עין
première	primero	first	ראשון
aller	Vamos	go	ללכת
il	él	he	הוא
enfant	niño	child	ילד
dans	en	in	ב
apprendre	aprender	learn	ללמוד
Matin	Mañana	morning	בוקר
ouvert	abierto	open	פתוח
jouer	tocar	play	לשחק
question	pregunta	question	שאלה
pièce	habitación	room	חדר
dire	decir	say	לומר
début	comienzo	start	להתחיל
aujourd'hui	hoy	today	היום
mot	palabra	word	מילה
à propos	acerca de	about	על
à	a	at	ב
frère	hermano	brother	אח
boisson	beber	drink	לשתות
facile	fácil	easy	קל
père	padre	father	אבא
fille	niña	girl	ילדה
aider	ayuda	help	עזרה
chaise	silla	chair	כיסא
connaître	saber	know	דע
mon	mi	my	שלי
Nouveau	nuevo	new	חדש
papier	papel	paper	נייר
S'il vous plaît	Por favor	please	בבקשה
riches	Rico	rich	עשיר
elle	ella	she	היא
spectacle	show	show	להראות
fils	hijo	son	בן
ils	ellos	they	הם
quoi	qué	what	מה
toujours	siempre	always	תמיד
être	ser	be	להיות
corps	cuerpo	body	גוף
prudent	Cuidado	careful	זהיר
pleurer	llorar	cry	בכי
porte	puerta	door	דלת
tout	todo	everything	הכל
visage	cara	face	פנים
sa	su	her	לה
si	Si	if	אם
beaucoup	muchos	many	רבים
non	No	no	אין
stylo	bolígrafo	pen	עט
endroit	sitio	place	מקום
route	la carretera	road	כביש
Arrêtez	detener	stop	לעצור
étudiant	estudiante	student	תלמיד
deux	dos	two	שניים
vouloir	desear	want	רוצה
où	dónde	where	איפה
répondre	responder	answer	תשובה
entre	Entre	between	בין
clair	claro	clear	צלול
pays	país	country	מדינה
Danse	danza	dance	ריקוד
faire	hacer	do	לעשות
chaque	cada	each	כל
ami	amigo	friend	חבר
le sien	su	his	שלו
emploi	trabajo	job	עבודה
la vie	vida	life	חיים
plus	más	more	יותר
parc	parque	park	פארק
la personne	persona	person	אדם
prêt	Listo	ready	מוכן
seconde	segundo	second	שנייה
bientôt	pronto	soon	בקרוב
cette	ese	that	זה
nous	nosotros	we	אנחנו
Pourquoi	por qué	why	למה
capable	poder	able	מסוגל
avant	antes de	before	לפני
mais	pero	but	אבל
nettoyer	limpiar	clean	נקי
Fermer	cerca	close	סגור
rêver	sueño	dream	חלום
huit	ocho	eight	שמונה
pour	para	for	ל
main	mano	hand	יד
à l'intérieur	dentro	inside	בתוך
maintenant	ahora	now	עכשיו
ou	o	or	או
image	imagen	picture	תמונה
rivière	río	river	נהר
navire	Embarcacion	ship	ספינה
magasin	tienda	shop	חנות
asseoir	sentar	sit	לשבת
table	mesa	table	שולחן
très	muy	very	מאוד
écrire	escribir	write	לכתוב
air	aire	air	אוויר
noir	negro	black	שחור
cinéma	cine	cinema	
fille	hija	daughter	בת
manger	comer	eat	לאכול
de	desde	from	מ
bien	bueno	good	טוב
tête	cabeza	head	ראש
fromage	queso	cheese	גבינה
important	importante	important	חשוב
terre	tierra	land	אדמה
argent	dinero	money	כסף
Payer	pagar	pay	לשלם
problème	problema	problem	בעיה
courir	correr	run	לרוץ
même	mismo	same	אותו דבר
voir	ver	see	לראות
envoyer	enviar	send	לשלוח
chose	cosa	thing	דבר
travail	trabajo	work	לעבוד
tout	ninguna	any	כל
comme	como	as	כמו
meilleur	mejor	better	טוב יותר
du froid	frío	cold	קר
viens	ven	come	לבוא
docteur	médico	doctor	רופא
trouver	encontrar	find	למצוא
Jeu	juego	game	משחק
idée	idea	idea	רעיון
gentil	tipo	kind	סוג
vivre	En Vivo	live (v)	לחיות
faire	hacer	make	לעשות
paix	paz	peace	שלום
populaire	popular	popular	פופולרי
droite	derecho	right	נכון
petit	pequeña	small	קטן
alors	entonces	so	אז
certains	algunos	some	חלק
Là	allí	there	שם
attendez	Espere	wait	לחכות
encore	otra vez	again	שוב
retour	espalda	back	חזרה
pourrait	podría	could	יכול
document	documento	document	לתעד
Oeuf	huevo	egg	ביצה
Feu	fuego	fire	אש
donner	dar	give	לתת
chance	oportunidad	chance	הזדמנות
information	información	information	מידע
lumière	ligero	light	אור
mai	mayo	may	עשוי
souvent	a menudo	often	לעתים קרובות
préférer	preferir	prefer	מעדיף
mettre	poner	put	לשים
rouge	rojo	red	אדום
calcul	Roca	stone	אבן
tel	tal	such	כזה
pense	pensar	think	לחשוב
comprendre	entender	understand	להבין
visite	visitar	visit	לבקר
autour	alrededor	around	מסביב
meilleur	mejor	best	הטוב ביותר
appel	llamada	call	להתקשר
Couper	cortar	cut	לחתוך
dîner	cena	dinner	ארוחת ערב
vers le bas	abajo	down	למטה
Explique	explique	explain	להסביר
avoir	obtener	get	לקבל
intéressant	interesante	interesting	מעניין
longue	largo	long	ארוך
bouge toi	moverse	move	להזיז
en dehors	afuera	out	בחוץ
page	página	page	דף
atteindre	alcanzar	reach	להגיע
du repos	descanso	rest	לנוח
ensemble	conjunto	set	להגדיר
devrait	debería	should	צריך
supporter	estar	stand	לעמוד
temps	hora	time	זמן
haut	arriba	up	למעלה
âge	años	age	גיל
car	porque	because	כי
gros	grande	big	גדול
caméra	cámara	camera	מצלמה
ville	ciudad	city	עיר
robe	vestir	dress	לבוש
soir	noche	evening	ערב
libre	gratis	free	חופשי
avoir	tener	have	יש
mauvais	enfermo	ill	חולה
comme	me gusta	like	אוהב
mère	madre	mother	אמא
vieux	antiguo	old	זקן
police	policía	police	משטרה
rappelles toi	recuerda	remember	זוכר
rue	calle	street	רחוב
étude	estudiar	study	לימוד
prof	profesor	teacher	מורה
voix	voz	voice	קול
l'eau	agua	water	מים
également	además	also	גם
boîte	caja	box	קופסה
classe	clase	class	כיתה
difficile	difícil	difficult	קשה
conduire	conducir	drive	נהיגה
nourriture	comida	food	אוכל
génial	estupendo	great	נהדר
content	feliz	happy	שמח
changement	cambio	change	שינוי
jus	jugo	juice	מיץ
rencontrer	reunirse	meet	לפגוש
avoir besoin	necesitar	need	צריך
joli	bonita	pretty	יפה
assez	bastante	quite	די
réel	real	real	אמיתי
triste	triste	sad	עצוב
printemps	primavera	spring	אביב
étoile	estrella	star	כוכב
prendre	tomar	take	לקחת
Oui	si	yes	כן
action	acción	action	פעולה
seul	solo	alone	לבד
petit déjeuner	desayuno	breakfast	ארוחת בוקר
continuer	Seguir	continue	המשך
mort	muerto	dead	מת
prendre plaisir	disfrutar	enjoy	ליהנות
plein	lleno	full	מלא
jardin	jardín	garden	גן
maison	casa	house	בית
périple	viaje	journey	מסע
beaucoup	mucho	much	הרבה
rien	nada	nothing	כלום
téléphone	teléfono	phone	טלפון
prix	precio	price	מחיר
résultat	resultado	result	תוצאה
sœur	hermana	sister	אחות
Soleil	Dom	sun	שמש
dire	contar	tell	לספר
vue	ver	view	נוף
avec	con	with	עם
contre	en contra	against	נגד
autobus	autobús	bus	אוטובוס
entreprise	empresa	company	חברה
désert	Desierto	desert (n)	מדבר
coûteux	costoso	expensive	יקר
fleur	flor	flower	פרח
vert	verde	green	ירוק
